date       aa (FINAL)  dst (FINAL) 
1957-01-23      34        -81
1957-01-24      49        -50
1957-01-25      30        -62
1957-01-30      42        -62
1957-03-03      36        -90
1957-03-11      11        -81
1957-03-30      29        -68
1957-07-03      44        -59
1957-09-06      47        -92
1957-09-07      22        -50
1957-09-15      20        -50
1957-09-24      41        -83
1957-09-25      31        -51
1957-10-01      33        -50
1957-11-07      42        -75
1957-11-28      43        -64
1958-01-01      49        -98
1958-01-02      30        -60
1958-01-18      46        -52
1958-02-13      30        -57
1958-02-14      35        -51
1958-03-22      32        -51
1958-04-05      33        -51
1958-06-02      38        -52
1958-06-10      42        -54
1958-07-10      22        -76
1958-07-11      21        -51
1958-08-18      27        -51
1958-09-06      13        -75
1958-09-26      31        -76
1958-10-25      15        -91
1958-10-26      20        -56
1958-10-27      46        -53
1958-12-05      31       -103
1958-12-14      41        -51
1958-12-18      48        -72
1958-12-19      30        -52
1959-01-11      22        -52
1959-02-17      27        -74
1959-03-30      29        -64
1959-04-11      34        -51
1959-04-24      42        -63
1959-05-16      38        -58
1959-06-28      42        -52
1959-06-30      49        -55
1959-07-16      46       -156
1959-07-19      35        -75
1959-08-18      39        -74
1959-08-19      35        -58
1959-09-02      38        -58
1959-09-05      40        -71
1959-09-06      20        -51
1959-09-23      35        -53
1959-09-24      40        -57
1959-09-25      43        -65
1959-11-05      34        -53
1959-11-23      47        -65
1959-11-29      22        -70
1959-12-01      38        -59
1959-12-02      43        -51
1959-12-06      29        -65
1960-01-15      39        -66
1960-04-04      34        -72
1960-04-08      23        -52
1960-04-12      43        -53
1960-04-26      26        -58
1960-05-02      23        -73
1960-05-09      26        -56
1960-06-05      40        -68
1960-07-17      32        -71
1960-08-18      23        -59
1960-09-06      30        -78
1960-10-08      48        -87
1960-10-09      49        -83
1960-10-10      13        -67
1960-10-11      23        -54
1960-10-18      42        -52
1960-10-29      49        -61
1960-11-05      16        -51
1960-11-17      27        -84
1960-11-18       9        -66
1960-11-22      38        -66
1960-11-26      22        -54
1960-12-02      42        -71
1960-12-03      14        -50
1960-12-16      44        -95
1960-12-28      39        -59
1961-01-09      43        -54
1961-01-20      48        -56
1961-02-05      35       -103
1961-03-06      35        -71
1961-07-15      33        -73
1961-07-19      18        -57
1961-07-21      48        -51
1961-07-28      33        -66
1961-10-02      11        -65
1961-10-29      42        -98
1961-10-30      11        -56
1961-11-08      33        -53
1963-09-24      30        -67
1963-10-30      45        -75
1965-04-19      22        -53
1966-05-27       7        -55
1966-09-05      23        -64
1966-12-15      26        -54
1967-01-15      18        -50
1967-02-17      23        -60
1967-05-04      21        -56
1967-05-27      35        -91
1967-05-31      45        -77
1967-06-01       7        -55
1967-06-06      47        -99
1967-06-07      20        -76
1967-09-30      48        -54
1968-01-01      34        -71
1968-01-03      13        -50
1968-02-12      21        -51
1968-02-29      26        -52
1968-06-12      47        -59
1968-06-13      47        -61
1968-11-03      45        -91
1968-11-04      44        -64
1968-11-05      11        -51
1968-11-18      32        -50
1969-02-12      16        -59
1969-03-12      49        -54
1969-03-25      34        -80
1969-05-16      44        -66
1969-10-02      47        -51
1970-03-10      14        -73
