date       aa (PROV)   dst (PROV) 
1998-01-07      38        -54
1998-01-30      35        -54
1998-02-19      12        -50
1998-03-11      42        -78
1998-03-12      27        -56
1998-03-13      22        -51
1998-03-15      29        -55
1998-03-21      46        -54
1998-04-26      49        -56
1998-05-06      11        -77
1998-05-07      22        -53
1998-05-08      42        -55
1998-05-09      27        -55
1998-08-07      33        -82
1998-08-08      16        -51
1998-08-28      43        -83
1998-08-29      29        -68
1998-08-30      25        -57
1998-08-31      30        -61
1998-09-01      29        -50
1998-09-26      35        -67
1998-09-27      18        -58
1998-10-01      39        -56
1998-10-03      21        -52
1998-10-08      29        -54
1998-10-09      26        -53
1998-10-20      41        -64
1998-10-21      36        -61
1998-10-22      34        -53
1998-10-25      18        -51
1998-11-06      36        -50
1998-11-10      10        -55
1999-01-14      48        -65
1999-08-23      45        -61
1999-08-24      46        -51
1999-09-23      30        -92
1999-10-23      48        -59
1999-10-24      45        -54
1999-11-14      22        -59
1999-12-13      43        -51
2000-01-23      36        -62
2000-02-13      27        -50
2000-04-08      19        -61
2000-05-25      43        -60
2000-07-16      49       -169
2000-07-17      15        -67
2000-08-13      29        -53
2000-09-19      43        -51
2000-10-03      39        -54
2000-10-06       7        -66
2000-10-29      44        -84
2001-03-21      12        -66
2001-03-23      48        -57
2001-04-02      36        -58
2001-04-12      46       -118
2001-05-10      35        -51
2001-09-26      37        -72
2001-10-04      32        -71
2001-10-23      24        -95
2001-10-29      28        -63
2001-11-01      31        -72
2001-11-07      27        -92
2001-11-25      17        -90
2002-02-06      38        -52
2002-05-12      30        -55
2002-05-24       3        -56
2002-08-21      42        -69
2002-09-08      33        -95
2002-09-10      44        -60
2002-09-11      39        -53
2002-10-05      44        -75
2002-10-08      40        -70
2002-10-09      36        -53
2002-10-10      30        -56
2002-10-14      33        -51
2003-05-10      48        -50
2003-07-27      35        -50
2003-08-06      46        -54
2003-08-19      24        -71
2003-09-20      42        -51
2003-09-25      49        -51
2003-10-16      47        -55
2003-10-17      49        -53
2003-10-20      49        -55
2003-10-27      16        -56
2003-11-01      41        -52
2003-11-22      46        -76
2003-11-23      39        -63
2004-04-06      40        -50
2004-07-28      27        -84
2004-07-29      10        -63
2004-08-31      39        -69
2004-11-11      38        -86
2004-11-13      14        -62
2004-11-14      14        -58
2005-01-22      46        -80
2005-05-09      15        -58
2005-05-17      26        -79
2005-05-18      18        -61
2005-05-20      42        -52
2005-05-21      35        -60
2005-05-31      22        -54
2005-06-13      49        -66
2005-08-25      38        -75
total number of days = 2798
